timestamp,acc_x,acc_y,acc_z
2026-03-14 09:15:00.000,0.2306,0.3367,10.2264
2026-03-14 09:15:00.010,0.3549,0.2808,10.1635
2026-03-14 09:15:00.020,0.3799,0.7562,10.5751
2026-03-14 09:15:00.030,0.3448,0.8393,9.846
2026-03-14 09:15:00.040,0.7321,0.7423,10.3757
2026-03-14 09:15:00.050,0.9919,1.1455,9.9704
2026-03-14 09:15:00.060,1.1352,0.9076,9.8131
2026-03-14 09:15:00.070,1.2569,1.2928,9.6707
2026-03-14 09:15:00.080,1.3305,1.1728,9.5728
2026-03-14 09:15:00.090,1.4928,1.032,9.7728
2026-03-14 09:15:00.100,1.5088,0.9991,9.7268
2026-03-14 09:15:00.110,1.5152,0.894,10.3955
2026-03-14 09:15:00.120,1.309,0.5618,9.7928
2026-03-14 09:15:00.130,1.1627,0.3179,9.5884
2026-03-14 09:15:00.140,1.296,0.2695,9.6929
2026-03-14 09:15:00.150,1.2962,0.2144,9.3729
2026-03-14 09:15:00.160,1.0035,-0.0156,9.3423
2026-03-14 09:15:00.170,1.071,0.1313,9.6479
2026-03-14 09:15:00.180,0.9852,-0.0503,9.4764
2026-03-14 09:15:00.190,0.8318,-0.0393,9.8278
2026-03-14 09:15:00.200,0.7177,0.0593,9.7818
2026-03-14 09:15:00.210,0.7949,-0.0717,9.6751
2026-03-14 09:15:00.220,0.9129,0.0451,9.7176
2026-03-14 09:15:00.230,0.4462,-0.1214,9.3333
2026-03-14 09:15:00.240,0.1132,0.2967,9.5999
2026-03-14 09:15:00.250,0.2542,0.3913,9.6191
2026-03-14 09:15:00.260,0.196,0.0372,9.8459
2026-03-14 09:15:00.270,0.1116,0.1802,9.9268
2026-03-14 09:15:00.280,-0.3334,0.6804,9.7859
2026-03-14 09:15:00.290,-0.5096,0.0304,10.3074
2026-03-14 09:15:00.300,-0.3128,0.3321,10.0335
2026-03-14 09:15:00.310,-0.3064,0.4361,9.8349
2026-03-14 09:15:00.320,-0.6572,0.0986,10.1452
2026-03-14 09:15:00.330,-1.1705,-0.0034,9.7236
2026-03-14 09:15:00.340,-0.9008,-0.2496,10.1654
2026-03-14 09:15:00.350,-1.171,-0.1416,9.9167
2026-03-14 09:15:00.360,-1.3236,-0.3128,9.7282
2026-03-14 09:15:00.370,-1.355,-0.6997,10.2844
2026-03-14 09:15:00.380,-1.4262,-0.6552,9.9834
2026-03-14 09:15:00.390,-1.1947,-0.916,10.1476
2026-03-14 09:15:00.400,-1.4049,-0.9067,10.1166
2026-03-14 09:15:00.410,-1.3752,-1.3138,9.5114
2026-03-14 09:15:00.420,-1.6636,-1.0775,9.6084
2026-03-14 09:15:00.430,-1.451,-1.2316,9.3257
2026-03-14 09:15:00.440,-1.3376,-1.2051,9.174
2026-03-14 09:15:00.450,-1.4011,-1.1976,9.5695
2026-03-14 09:15:00.460,-1.14,-1.142,9.5753
2026-03-14 09:15:00.470,,-0.7687,9.6502
2026-03-14 09:15:00.480,,-0.8352,10.305
2026-03-14 09:15:00.490,-0.6776,-0.5599,9.7866
2026-03-14 09:15:00.500,-0.431,-0.4061,10.0973
2026-03-14 09:15:00.510,0.0127,0.0573,9.7352
2026-03-14 09:15:00.520,-0.1324,0.2545,9.1138
2026-03-14 09:15:00.530,0.0052,0.1814,9.7282
2026-03-14 09:15:00.540,0.3128,0.4715,9.8098
2026-03-14 09:15:00.550,0.3434,0.6245,9.8886
2026-03-14 09:15:00.560,0.5083,0.6979,10.3041
2026-03-14 09:15:00.570,1.1061,1.098,10.387
2026-03-14 09:15:00.580,1.0992,1.0148,10.3852
2026-03-14 09:15:00.590,1.2967,0.964,10.0561
2026-03-14 09:15:00.600,1.149,0.9242,9.9683
2026-03-14 09:15:00.610,1.3941,1.0115,10.0404
2026-03-14 09:15:00.620,1.2483,1.3206,9.6344
2026-03-14 09:15:00.630,1.5603,0.6481,9.6758
2026-03-14 09:15:00.640,1.1818,0.8078,9.9271
2026-03-14 09:15:00.650,1.422,0.634,10.0574
2026-03-14 09:15:00.660,1.33,0.2281,10.4612
2026-03-14 09:15:00.670,1.1968,0.435,10.0405
2026-03-14 09:15:00.680,1.3837,0.2223,9.6122
2026-03-14 09:15:00.690,1.1927,0.1083,9.787
2026-03-14 09:15:00.700,0.9003,0.0745,9.1426
2026-03-14 09:15:00.710,0.8535,-0.0627,9.5223
2026-03-14 09:15:00.720,0.6763,-0.2991,9.675
2026-03-14 09:15:00.730,0.6644,-0.1364,9.056
2026-03-14 09:15:00.740,0.6105,-0.0809,9.9456
