# Bench capture -- DAQ-2200, firmware 4.11b
# operator: A. Du
# date: 2026-03-14T09:15:00+08:00
# sample_rate_hz = 500
# columns: index ; time_s ; channel_a_volts ; probe_temp_c ; status
#
# NOTE: status=OK means the sample is trustworthy. Anything else is not.

0 ; 0.000000 ; 0.03541 ; 21.546 ; OK
1 ; 0.002000 ; 0.47951 ; 21.484 ; OK
2 ; 0.004000 ; 1.14056 ; 21.547 ; OK
3 ; 0.006000 ; 1.59862 ; 21.541 ; OK
4 ; 0.008000 ; 1.47043 ; 21.486 ; OK
5 ; 0.010000 ; 1.01437 ; 21.560 ; OK
6 ; 0.012000 ; 1.06391 ; 21.606 ; OK
7 ; 0.014000 ; 0.70913 ; 21.556 ; OK
8 ; 0.016000 ; 0.50010 ; 21.496 ; OK
9 ; 0.018000 ; 0.59450 ; 21.563 ; OK
10 ; 0.020000 ; 1.01441 ; 21.518 ; OK
11 ; 0.022000 ; 1.27661 ; 21.728 ; OK
12 ; 0.024000 ; 1.76587 ; 21.555 ; OK
13 ; 0.026000 ; 2.26086 ; 21.555 ; OK
14 ; 0.028000 ; 2.62658 ; 21.539 ; OK
15 ; 0.030000 ; 2.88255 ; 21.537 ; OK
16 ; 0.032000 ; 2.63883 ; 21.481 ; OK
17 ; 0.034000 ; 2.40416 ; 21.567 ; OK
18 ; 0.036000 ; 1.64324 ; 21.556 ; OK
19 ; 0.038000 ; 1.72465 ; 21.583 ; OK
20 ; 0.040000 ; 0.87876 ; 21.523 ; OK
21 ; 0.042000 ; 1.43814 ; 21.579 ; OK
22 ; 0.044000 ; 1.21549 ; 21.530 ; OK
23 ; 0.046000 ; 2.23753 ; 21.567 ; OK
24 ; 0.048000 ; 1.73834 ; 21.620 ; OK
25 ; 0.050000 ; 2.46244 ; 21.542 ; OK
26 ; 0.052000 ; 2.46694 ; 21.605 ; OK
27 ; 0.054000 ; 2.03115 ; 21.661 ; OK
28 ; 0.056000 ; 1.87934 ; 21.647 ; OK
29 ; 0.058000 ; 1.31253 ; 21.533 ; OK
