time_s,mV
0.0,0.032151
0.002778,0.029853
0.005556,0.098749
0.008333,-0.048948
0.011111,-0.04578
0.013889,-0.048299
0.016667,-0.048415
0.019444,0.034476
0.022222,0.105864
0.025,0.076008
0.027778,-0.004251
0.030556,-0.041312
0.033333,-0.062097
0.036111,-0.008267
0.038889,0.040776
0.041667,0.050552
0.044444,0.076721
0.047222,0.016384
0.05,0.013615
0.052778,-0.013188
0.055556,-0.035132
0.058333,0.063612
0.061111,0.114499
0.063889,0.095406
0.066667,0.108115
0.069444,0.014446
0.072222,-0.047634
0.075,-0.061621
0.077778,0.000944
0.080556,0.090331
0.083333,0.1225
0.086111,0.097392
0.088889,0.035504
0.091667,-0.051632
0.094444,-0.008569
0.097222,-0.00518
0.1,0.076591
0.102778,0.155382
0.105556,0.133179
0.108333,0.04213
0.111111,0.038882
0.113889,-0.040338
0.116667,0.013576
0.119444,0.10893
0.122222,0.145431
0.125,0.148165
0.127778,0.066495
0.130556,0.032404
0.133333,-0.021366
0.136111,0.040047
0.138889,0.095377
0.141667,0.149283
0.144444,0.18532
0.147222,0.099847
0.15,0.001372
0.152778,-0.017759
0.155556,0.040079
0.158333,0.073959
0.161111,0.142221
0.163889,0.164697
0.166667,0.082383
0.169444,0.080927
0.172222,0.021491
0.175,0.050112
0.177778,0.084724
0.180556,0.138252
0.183333,0.177952
0.186111,0.143485
0.188889,0.06622
0.191667,-0.005633
0.194444,0.019929
0.197222,0.072468
0.2,0.126278
0.202778,0.180392
0.205556,0.159754
0.208333,0.134207
0.211111,0.011871
0.213889,0.06982
0.216667,0.057027
0.219444,0.126056
0.222222,0.166385
0.225,0.211155
0.227778,0.090305
0.230556,0.077361
0.233333,0.081406
0.236111,0.075923
0.238889,0.174092
0.241667,0.138164
0.244444,0.160299
0.247222,0.16628
0.25,0.114436
0.252778,0.027714
0.255556,0.12211
0.258333,0.138567
0.261111,0.149201
0.263889,0.231765
0.266667,0.211636
0.269444,0.107858
0.272222,0.048974
0.275,0.084393
0.277778,0.200338
0.280556,0.164359
0.283333,0.310348
0.286111,0.235677
0.288889,0.138376
0.291667,0.141748
0.294444,0.130856
0.297222,0.242015
0.3,0.258858
0.302778,0.329268
0.305556,0.355786
0.308333,0.200869
0.311111,0.138404
0.313889,0.171103
0.316667,0.235137
0.319444,0.317111
0.322222,0.311051
0.325,0.269519
0.327778,0.26294
0.330556,0.186534
0.333333,0.113736
0.336111,0.156326
0.338889,0.284851
0.341667,0.288104
0.344444,0.251353
0.347222,0.206873
0.35,0.133726
0.352778,0.097281
0.355556,0.094316
0.358333,0.198713
0.361111,0.28365
0.363889,0.302183
0.366667,0.161292
0.369444,0.142586
0.372222,0.126876
0.375,0.098881
0.377778,0.181339
0.380556,0.204375
0.383333,0.236597
0.386111,0.202055
0.388889,0.049486
0.391667,0.051006
0.394444,0.244793
0.397222,0.448719
0.4,0.839839
0.402778,1.064732
0.405556,1.207357
0.408333,1.146825
0.411111,0.938597
0.413889,0.599154
0.416667,0.405441
0.419444,0.248446
0.422222,0.140717
0.425,0.120292
0.427778,0.002614
0.430556,-0.069334
0.433333,0.043896
0.436111,0.053717
0.438889,0.154127
0.441667,0.263537
0.444444,0.325247
0.447222,0.250858
0.45,0.19861
0.452778,0.177246
0.455556,0.170942
0.458333,0.190178
0.461111,0.2741
0.463889,0.330704
0.466667,0.287171
0.469444,0.250493
0.472222,0.228897
0.475,0.219703
0.477778,0.305019
0.480556,0.383065
0.483333,0.429761
0.486111,0.383592
0.488889,0.327909
0.491667,0.297568
0.494444,0.274094
0.497222,0.363819
0.5,0.444875
0.502778,0.484787
0.505556,0.508139
0.508333,0.416653
0.511111,0.429764
0.513889,0.395992
0.516667,0.43365
0.519444,0.557109
0.522222,0.611594
0.525,0.611269
0.527778,0.51719
0.530556,0.480955
0.533333,0.474939
0.536111,0.492916
0.538889,0.519738
0.541667,0.603958
0.544444,0.573168
0.547222,0.610043
0.55,0.499814
0.552778,0.408097
0.555556,0.453769
0.558333,0.490074
0.561111,0.562052
0.563889,0.554306
0.566667,0.514145
0.569444,0.378919
0.572222,0.330759
0.575,0.314805
0.577778,0.403477
0.580556,0.42307
0.583333,0.462432
0.586111,0.406146
0.588889,0.332306
0.591667,0.273171
0.594444,0.25795
0.597222,0.320563
0.6,0.368379
0.602778,0.405741
0.605556,0.347059
0.608333,0.259036
0.611111,0.171465
0.613889,0.212372
0.616667,0.21889
0.619444,0.312054
0.622222,0.349886
0.625,0.331625
0.627778,0.338139
0.630556,0.169164
0.633333,0.213889
0.636111,0.251808
0.638889,0.287413
0.641667,0.3864
0.644444,0.387166
0.647222,0.346055
0.65,0.295112
0.652778,0.208804
0.655556,0.26366
0.658333,0.376309
0.661111,0.386074
0.663889,0.402302
0.666667,0.307987
0.669444,0.305946
0.672222,0.163793
0.675,0.226208
0.677778,0.284086
0.680556,0.359715
0.683333,0.408035
0.686111,0.353199
0.688889,0.301456
0.691667,0.276747
0.694444,0.248388
0.697222,0.252586
0.7,0.341631
0.702778,0.403935
0.705556,0.443592
0.708333,0.339605
0.711111,0.267429
0.713889,0.26443
0.716667,0.262294
0.719444,0.329689
0.722222,0.370575
0.725,0.377454
0.727778,0.345405
0.730556,0.25419
0.733333,0.239137
0.736111,0.264175
0.738889,0.363365
0.741667,0.392132
0.744444,0.351528
0.747222,0.349305
0.75,0.270413
0.752778,0.277933
0.755556,0.309144
0.758333,0.350846
0.761111,0.377975
0.763889,0.388327
0.766667,0.348526
0.769444,0.351424
0.772222,0.252772
0.775,0.25513
0.777778,0.334872
0.780556,0.416403
0.783333,0.379497
0.786111,0.398152
0.788889,0.277648
0.791667,0.249146
0.794444,0.235423
0.797222,0.360929
0.8,0.352775
