family,order,cutoff_hz,trial,rolloff_db_per_octave,passband_ripple_db,group_delay_ms,output_snr_db
butter,2,20,0,12.502,0.0206,15.9,19.827
butter,2,20,1,13.7,0.0077,15.819,19.227
butter,2,20,2,12.863,0.0085,15.946,20.086
butter,2,20,3,10.335,0.0164,15.605,20.15
butter,2,20,4,9.982,0.0364,16.113,20.239
butter,2,20,5,12.512,0.0122,15.722,19.301
butter,2,40,0,12.565,0.0368,8.513,19.336
butter,2,40,1,8.727,0.0008,7.254,18.119
butter,2,40,2,12.214,0.0212,7.77,20.658
butter,2,40,3,12.387,0.008,7.588,18.337
butter,2,40,4,11.197,0.0043,7.676,18.764
butter,2,40,5,12.631,0.0192,8.581,18.35
butter,2,60,0,12.227,0.0031,5.411,18.536
butter,2,60,1,12.826,0.0084,5.597,18.454
butter,2,60,2,13.017,0.0305,5.288,18.587
butter,2,60,3,12.933,0.0129,5.114,19.154
butter,2,60,4,13.123,0.0395,5.004,18.279
butter,2,60,5,10.861,0.0348,5.252,18.143
butter,2,80,0,10.814,0.0193,3.808,16.313
butter,2,80,1,12.763,0.0338,3.623,18.487
butter,2,80,2,13.274,0.0222,4.138,15.636
butter,2,80,3,12.017,0.0032,3.99,15.99
butter,2,80,4,16.377,0.0025,4.485,19.234
butter,2,80,5,10.194,0.0084,3.541,16.719
butter,2,100,0,12.175,0.0185,3.204,16.571
butter,2,100,1,10.283,0.0228,3.079,17.053
butter,2,100,2,13.006,0.0176,3.115,17.378
butter,2,100,3,15.54,0.016,3.245,16.391
butter,2,100,4,14.77,0.0005,2.528,16.688
butter,2,100,5,10.349,0.0077,2.738,17.515
butter,4,20,0,23.724,0.004,31.984,22.759
butter,4,20,1,25.406,0.0292,31.723,21.449
butter,4,20,2,25.348,0.0185,31.701,21.325
butter,4,20,3,26.247,0.0074,32.022,21.442
butter,4,20,4,24.116,0.0179,32.438,20.641
butter,4,20,5,22.399,0.0208,31.312,21.629
butter,4,40,0,21.779,0.0258,15.858,20.946
butter,4,40,1,25.533,0.0017,16.541,23.217
butter,4,40,2,25.569,0.0185,16.302,23.597
butter,4,40,3,21.764,0.007,15.516,22.153
butter,4,40,4,23.197,0.0214,15.36,19.875
butter,4,40,5,21.784,0.0115,16.376,21.897
butter,4,60,0,23.106,0.0105,10.743,20.853
butter,4,60,1,24.045,0.0001,10.338,19.672
butter,4,60,2,26.088,0.0185,10.613,20.333
butter,4,60,3,20.711,0.0288,9.991,20.151
butter,4,60,4,23.776,0.0035,11.371,21.873
butter,4,60,5,25.299,0.0027,11.176,20.539
butter,4,80,0,20.451,0.0066,7.982,20.226
butter,4,80,1,24.286,0.0017,7.928,19.714
butter,4,80,2,22.394,0.026,7.591,20.451
butter,4,80,3,21.732,0.0045,8.035,18.563
butter,4,80,4,24.482,0.0207,8.069,20.732
butter,4,80,5,21.932,0.0046,7.992,20.445
butter,4,100,0,23.093,0.0126,7.106,19.538
butter,4,100,1,23.683,0.0053,5.576,20.815
butter,4,100,2,25.038,0.0113,6.272,19.29
butter,4,100,3,21.738,0.0154,6.616,19.232
butter,4,100,4,23.224,0.0002,6.597,20.327
butter,4,100,5,23.511,0.0058,6.205,19.554
butter,6,20,0,34.973,0.0362,47.487,24.401
